"CouncilName","Region","Date","Measure","Value","DateName","RegionAvg"
"Aberdeen City","North",2022-01-01,"primary",0.4,"Jan-22",8.3
"Aberdeen City","North",2022-01-01,"secondary",8.7,"Jan-22",14.1
"Aberdeen City","North",2022-01-01,"tertiary",90.9,"Jan-22",77.6
"Aberdeenshire","North",2022-01-01,"primary",15.8,"Jan-22",8.3
"Aberdeenshire","North",2022-01-01,"secondary",7.5,"Jan-22",14.1
"Aberdeenshire","North",2022-01-01,"tertiary",76.6,"Jan-22",77.6
"Angus","Tayforth",2022-01-01,"primary",3.4,"Jan-22",3.1
"Angus","Tayforth",2022-01-01,"secondary",30,"Jan-22",19
"Angus","Tayforth",2022-01-01,"tertiary",66.6,"Jan-22",78
"Argyll and Bute","West",2022-01-01,"primary",1.1,"Jan-22",1.4
"Argyll and Bute","West",2022-01-01,"secondary",7.6,"Jan-22",17.4
"Argyll and Bute","West",2022-01-01,"tertiary",91.3,"Jan-22",81.4
"City of Edinburgh","South East",2022-01-01,"primary",5.6,"Jan-22",7.8
"City of Edinburgh","South East",2022-01-01,"secondary",78.1,"Jan-22",34.7
"City of Edinburgh","South East",2022-01-01,"tertiary",16.2,"Jan-22",57.5
"Clackmannanshire","Tayforth",2022-01-01,"primary",0,"Jan-22",3.1
"Clackmannanshire","Tayforth",2022-01-01,"secondary",9.6,"Jan-22",19
"Clackmannanshire","Tayforth",2022-01-01,"tertiary",90.4,"Jan-22",78
"Dumfries and Galloway","South West",2022-01-01,"primary",1.8,"Jan-22",3.7
"Dumfries and Galloway","South West",2022-01-01,"secondary",16.8,"Jan-22",13.1
"Dumfries and Galloway","South West",2022-01-01,"tertiary",81.3,"Jan-22",83.2
"Dundee City","Tayforth",2022-01-01,"primary",0.7,"Jan-22",3.1
"Dundee City","Tayforth",2022-01-01,"secondary",7.8,"Jan-22",19
"Dundee City","Tayforth",2022-01-01,"tertiary",91.5,"Jan-22",78
"East Ayrshire","South West",2022-01-01,"primary",2.2,"Jan-22",3.7
"East Ayrshire","South West",2022-01-01,"secondary",7,"Jan-22",13.1
"East Ayrshire","South West",2022-01-01,"tertiary",90.8,"Jan-22",83.2
"East Dunbartonshire","South West",2022-01-01,"primary",2.9,"Jan-22",3.7
"East Dunbartonshire","South West",2022-01-01,"secondary",4.9,"Jan-22",13.1
