"CouncilName","Date","FileType","Value","Region","RegionAvg","DateName"
"Aberdeen City",2022-01-01,"A and J",23,"North",16.1,"Jan-22"
"Aberdeenshire",2022-01-01,"A and J",18,"North",16.1,"Jan-22"
"Angus",2022-01-01,"A and J",1,"Tayforth",10.4,"Jan-22"
"Argyll and Bute",2022-01-01,"A and J",18,"West",13.5,"Jan-22"
"City of Edinburgh",2022-01-01,"A and J",0,"South East",6.2,"Jan-22"
"Clackmannanshire",2022-01-01,"A and J",20,"Tayforth",10.4,"Jan-22"
"Dumfries and Galloway",2022-01-01,"A and J",18,"South West",12.9,"Jan-22"
"Dundee City",2022-01-01,"A and J",19,"Tayforth",10.4,"Jan-22"
"East Ayrshire",2022-01-01,"A and J",6,"South West",12.9,"Jan-22"
"East Dunbartonshire",2022-01-01,"A and J",0,"South West",12.9,"Jan-22"
"East Lothian",2022-01-01,"A and J",20,"South East",6.2,"Jan-22"
"East Renfrewshire",2022-01-01,"A and J",14,"West",13.5,"Jan-22"
"Eilean Siar",2022-01-01,"A and J",17,"North",16.1,"Jan-22"
"Falkirk",2022-01-01,"A and J",3,"Tayforth",10.4,"Jan-22"
"Fife",2022-01-01,"A and J",3,"Tayforth",10.4,"Jan-22"
"Glasgow City",2022-01-01,"A and J",9,"West",13.5,"Jan-22"
"Highland",2022-01-01,"A and J",12,"North",16.1,"Jan-22"
"Inverclyde",2022-01-01,"A and J",21,"West",13.5,"Jan-22"
"Midlothian",2022-01-01,"A and J",1,"South East",6.2,"Jan-22"
"Moray",2022-01-01,"A and J",24,"North",16.1,"Jan-22"
"North Ayrshire",2022-01-01,"A and J",17,"South West",12.9,"Jan-22"
"North Lanarkshire",2022-01-01,"A and J",13,"South West",12.9,"Jan-22"
"Orkney",2022-01-01,"A and J",0,"North",16.1,"Jan-22"
"Perth and Kinross",2022-01-01,"A and J",21,"Tayforth",10.4,"Jan-22"
"Renfrewshire",2022-01-01,"A and J",16,"West",13.5,"Jan-22"
