"Sr.No.","CUSTODIAN_CODE","ORGANISATION_NAME","CHK_DESC","FAIL_COUNT","category","Date"
"4597",9056,"Clackmannanshire","BLPU state should be '2' (constructed) for applicable constructed features",1198,"BLPU","2022-09-01"
"4656",9058,"Dumfries and Galloway","BLPU state should be '2' (constructed) for applicable constructed features",18541,"BLPU","2022-09-01"
"4710",9061,"East Dunbartonshire","BLPU state should be '2' (constructed) for applicable constructed features",2203,"BLPU","2022-09-01"
"4762",9062,"East Lothian","BLPU state should be '2' (constructed) for applicable constructed features",45915,"BLPU","2022-09-01"
"4863",9020,"Eilean Siar","BLPU state should be '2' (constructed) for applicable constructed features",2438,"BLPU","2022-09-01"
"4352",9066,"Fife","BLPU state should be '2' (constructed) for applicable constructed features",302,"BLPU","2022-09-01"
"5628",9073,"North Lanarkshire","BLPU state should be '2' (constructed) for applicable constructed features",120939,"BLPU","2022-09-01"
"1958",9000,"Orkney","BLPU state should be '2' (constructed) for applicable constructed features",14,"BLPU","2022-09-01"
"3978",9075,"Renfrewshire","BLPU state should be '2' (constructed) for applicable constructed features",86733,"BLPU","2022-09-01"
"4247",9055,"Scottish Borders","BLPU state should be '2' (constructed) for applicable constructed features",46659,"BLPU","2022-09-01"
"5132",9076,"South Ayrshire","BLPU state should be '2' (constructed) for applicable constructed features",57475,"BLPU","2022-09-01"
"3354",9078,"Stirling","BLPU state should be '2' (constructed) for applicable constructed features",3,"BLPU","2022-09-01"
"5238",9057,"West Dunbartonshire","BLPU state should be '2' (constructed) for applicable constructed features",29514,"BLPU","2022-09-01"
"5394",9052,"Aberdeenshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",335,"BLPU","2022-09-01"
"2589",9053,"Angus","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",206,"BLPU","2022-09-01"
"4547",9054,"Argyll and Bute","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",73,"BLPU","2022-09-01"
"4050",9059,"Dundee City","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",200,"BLPU","2022-09-01"
"3066",9060,"East Ayrshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",12,"BLPU","2022-09-01"
"2361",9065,"Falkirk","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",30,"BLPU","2022-09-01"
"4332",9066,"Fife","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",452,"BLPU","2022-09-01"
"4914",9068,"Highland","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",39,"BLPU","2022-09-01"
"4966",9071,"Moray","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",225,"BLPU","2022-09-01"
"5621",9073,"North Lanarkshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",47,"BLPU","2022-09-01"
"2775",9074,"Perth and Kinross","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",245,"BLPU","2022-09-01"
"3971",9075,"Renfrewshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",62,"BLPU","2022-09-01"
"4255",9055,"Scottish Borders","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",8,"BLPU","2022-09-01"
"5154",9077,"South Lanarkshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",647,"BLPU","2022-09-01"
"3309",9078,"Stirling","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",3,"BLPU","2022-09-01"
"5234",9057,"West Dunbartonshire","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",530,"BLPU","2022-09-01"
"4196",9079,"West Lothian","Official, postal BLPU is older than 2018, and state is 'under construction' - Has building work completed?",393,"BLPU","2022-09-01"
"5396",9052,"Aberdeenshire","Postal BLPU more than five years old - but noted as under construction",28,"BLPU","2022-09-01"
"2591",9053,"Angus","Postal BLPU more than five years old - but noted as under construction",81,"BLPU","2022-09-01"
"4551",9054,"Argyll and Bute","Postal BLPU more than five years old - but noted as under construction",27,"BLPU","2022-09-01"
"4054",9059,"Dundee City","Postal BLPU more than five years old - but noted as under construction",13,"BLPU","2022-09-01"
"2367",9065,"Falkirk","Postal BLPU more than five years old - but noted as under construction",17,"BLPU","2022-09-01"
"4334",9066,"Fife","Postal BLPU more than five years old - but noted as under construction",106,"BLPU","2022-09-01"
"4916",9068,"Highland","Postal BLPU more than five years old - but noted as under construction",78,"BLPU","2022-09-01"
"4968",9071,"Moray","Postal BLPU more than five years old - but noted as under construction",58,"BLPU","2022-09-01"
"2777",9074,"Perth and Kinross","Postal BLPU more than five years old - but noted as under construction",103,"BLPU","2022-09-01"
"3973",9075,"Renfrewshire","Postal BLPU more than five years old - but noted as under construction",41,"BLPU","2022-09-01"
"4257",9055,"Scottish Borders","Postal BLPU more than five years old - but noted as under construction",1,"BLPU","2022-09-01"
"5127",9076,"South Ayrshire","Postal BLPU more than five years old - but noted as under construction",9,"BLPU","2022-09-01"
"5180",9077,"South Lanarkshire","Postal BLPU more than five years old - but noted as under construction",51,"BLPU","2022-09-01"
"5236",9057,"West Dunbartonshire","Postal BLPU more than five years old - but noted as under construction",334,"BLPU","2022-09-01"
"4182",9079,"West Lothian","Postal BLPU more than five years old - but noted as under construction",12,"BLPU","2022-09-01"
"5397",9052,"Aberdeenshire","Postal BLPU more than TEN years old - but recorded as under construction",13,"BLPU","2022-09-01"
"2592",9053,"Angus","Postal BLPU more than TEN years old - but recorded as under construction",48,"BLPU","2022-09-01"
"4552",9054,"Argyll and Bute","Postal BLPU more than TEN years old - but recorded as under construction",61,"BLPU","2022-09-01"
"3059",9060,"East Ayrshire","Postal BLPU more than TEN years old - but recorded as under construction",28,"BLPU","2022-09-01"
"2368",9065,"Falkirk","Postal BLPU more than TEN years old - but recorded as under construction",36,"BLPU","2022-09-01"
"4335",9066,"Fife","Postal BLPU more than TEN years old - but recorded as under construction",134,"BLPU","2022-09-01"
"4917",9068,"Highland","Postal BLPU more than TEN years old - but recorded as under construction",74,"BLPU","2022-09-01"
"4969",9071,"Moray","Postal BLPU more than TEN years old - but recorded as under construction",57,"BLPU","2022-09-01"
"5624",9073,"North Lanarkshire","Postal BLPU more than TEN years old - but recorded as under construction",47,"BLPU","2022-09-01"
"2778",9074,"Perth and Kinross","Postal BLPU more than TEN years old - but recorded as under construction",10,"BLPU","2022-09-01"
"4267",9055,"Scottish Borders","Postal BLPU more than TEN years old - but recorded as under construction",9,"BLPU","2022-09-01"
"5128",9076,"South Ayrshire","Postal BLPU more than TEN years old - but recorded as under construction",17,"BLPU","2022-09-01"
"5181",9077,"South Lanarkshire","Postal BLPU more than TEN years old - but recorded as under construction",34,"BLPU","2022-09-01"
"3312",9078,"Stirling","Postal BLPU more than TEN years old - but recorded as under construction",3,"BLPU","2022-09-01"
"5237",9057,"West Dunbartonshire","Postal BLPU more than TEN years old - but recorded as under construction",72,"BLPU","2022-09-01"
"4183",9079,"West Lothian","Postal BLPU more than TEN years old - but recorded as under construction",1,"BLPU","2022-09-01"
"4637",9058,"Dumfries and Galloway","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",494,"BLPU","2022-09-01"
"3056",9060,"East Ayrshire","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",33775,"BLPU","2022-09-01"
"4693",9061,"East Dunbartonshire","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",1,"BLPU","2022-09-01"
"2355",9065,"Falkirk","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",7,"BLPU","2022-09-01"
"2098",9070,"Midlothian","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",19,"BLPU","2022-09-01"
"4258",9055,"Scottish Borders","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",68,"BLPU","2022-09-01"
"5117",9076,"South Ayrshire","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",2,"BLPU","2022-09-01"
"5222",9057,"West Dunbartonshire","The representative point code (RPC) of a BLPU with an approved logical status should be 1 or 2 (for Non Street BLPUs only). - Mandatory on 1 January 2022",1279,"BLPU","2022-09-01"
"5395",9052,"Aberdeenshire","Plot address - but BLPU state is 'Constructed'",1,"LPI","2022-09-01"
"2574",9053,"Angus","Plot address - but BLPU state is 'Constructed'",74,"LPI","2022-09-01"
"4533",9054,"Argyll and Bute","Plot address - but BLPU state is 'Constructed'",22,"LPI","2022-09-01"
"4333",9066,"Fife","Plot address - but BLPU state is 'Constructed'",17,"LPI","2022-09-01"
"4915",9068,"Highland","Plot address - but BLPU state is 'Constructed'",94,"LPI","2022-09-01"
"3310",9078,"Stirling","Plot address - but BLPU state is 'Constructed'",1,"LPI","2022-09-01"
"4795",9063,"East Renfrewshire","Each LPI record is linked to an USRN",2,"LPI","2022-09-01"
"4908",9068,"Highland","Each LPI record is linked to an USRN",5,"LPI","2022-09-01"
"4470",9069,"Inverclyde","Each LPI record is linked to an USRN",356,"LPI","2022-09-01"
"5606",9073,"North Lanarkshire","Each LPI record is linked to an USRN",5,"LPI","2022-09-01"
"5168",9077,"South Lanarkshire","Each LPI record is linked to an USRN",1,"LPI","2022-09-01"
"3332",9078,"Stirling","Each LPI record is linked to an USRN",69,"LPI","2022-09-01"
"4904",9068,"Highland","An LPI record with a language code of GAE must have an ENG equivalent LPI record (includes historic records)",117,"LPI","2022-09-01"
"5362",9052,"Aberdeenshire","Class scheme should be 'SGC4' for V4 submissions",162614,"Classifications","2022-09-01"
"2557",9053,"Angus","Class scheme should be 'SGC4' for V4 submissions",41327,"Classifications","2022-09-01"
"4015",9059,"Dundee City","Class scheme should be 'SGC4' for V4 submissions",106946,"Classifications","2022-09-01"
"4305",9066,"Fife","Class scheme should be 'SGC4' for V4 submissions",251857,"Classifications","2022-09-01"
"4442",9069,"Inverclyde","Class scheme should be 'SGC4' for V4 submissions",31,"Classifications","2022-09-01"
"2758",9074,"Perth and Kinross","Class scheme should be 'SGC4' for V4 submissions",109960,"Classifications","2022-09-01"
"3315",9078,"Stirling","Class scheme should be 'SGC4' for V4 submissions",59020,"Classifications","2022-09-01"
"2099",9070,"Midlothian","Classification 'UP' - requires valid classification (Will become mandatory on 1 July 2021)",897,"Classifications","2022-09-01"
"5311",9051,"Aberdeen City","Commercial classification - not recorded to tertiary level",2119,"Classifications","2022-09-01"
"5391",9052,"Aberdeenshire","Commercial classification - not recorded to tertiary level",5417,"Classifications","2022-09-01"
"2586",9053,"Angus","Commercial classification - not recorded to tertiary level",2720,"Classifications","2022-09-01"
"4539",9054,"Argyll and Bute","Commercial classification - not recorded to tertiary level",9,"Classifications","2022-09-01"
"3504",9064,"City of Edinburgh","Commercial classification - not recorded to tertiary level",15799,"Classifications","2022-09-01"
"4587",9056,"Clackmannanshire","Commercial classification - not recorded to tertiary level",1,"Classifications","2022-09-01"
"4640",9058,"Dumfries and Galloway","Commercial classification - not recorded to tertiary level",1203,"Classifications","2022-09-01"
"4047",9059,"Dundee City","Commercial classification - not recorded to tertiary level",44,"Classifications","2022-09-01"
"3051",9060,"East Ayrshire","Commercial classification - not recorded to tertiary level",366,"Classifications","2022-09-01"
"4703",9061,"East Dunbartonshire","Commercial classification - not recorded to tertiary level",713,"Classifications","2022-09-01"
"4757",9062,"East Lothian","Commercial classification - not recorded to tertiary level",772,"Classifications","2022-09-01"
"4801",9063,"East Renfrewshire","Commercial classification - not recorded to tertiary level",100,"Classifications","2022-09-01"
"4855",9020,"Eilean Siar","Commercial classification - not recorded to tertiary level",608,"Classifications","2022-09-01"
"2358",9065,"Falkirk","Commercial classification - not recorded to tertiary level",1625,"Classifications","2022-09-01"
"4290",9066,"Fife","Commercial classification - not recorded to tertiary level",11682,"Classifications","2022-09-01"
"3100",9067,"Glasgow City","Commercial classification - not recorded to tertiary level",4921,"Classifications","2022-09-01"
"4893",9068,"Highland","Commercial classification - not recorded to tertiary level",4863,"Classifications","2022-09-01"
"4458",9069,"Inverclyde","Commercial classification - not recorded to tertiary level",817,"Classifications","2022-09-01"
"2101",9070,"Midlothian","Commercial classification - not recorded to tertiary level",290,"Classifications","2022-09-01"
"4961",9071,"Moray","Commercial classification - not recorded to tertiary level",305,"Classifications","2022-09-01"
"5025",9072,"North Ayrshire","Commercial classification - not recorded to tertiary level",2218,"Classifications","2022-09-01"
"5618",9073,"North Lanarkshire","Commercial classification - not recorded to tertiary level",270,"Classifications","2022-09-01"
"1952",9000,"Orkney","Commercial classification - not recorded to tertiary level",207,"Classifications","2022-09-01"
"4259",9055,"Scottish Borders","Commercial classification - not recorded to tertiary level",6161,"Classifications","2022-09-01"
"5071",9010,"Shetland","Commercial classification - not recorded to tertiary level",413,"Classifications","2022-09-01"
"5120",9076,"South Ayrshire","Commercial classification - not recorded to tertiary level",552,"Classifications","2022-09-01"
"5173",9077,"South Lanarkshire","Commercial classification - not recorded to tertiary level",3,"Classifications","2022-09-01"
"5225",9057,"West Dunbartonshire","Commercial classification - not recorded to tertiary level",711,"Classifications","2022-09-01"
